well,student,blank,media,group
A2,Student A,TRUE,LB,Group 1
A3,Student A,TRUE,LB,Group 1
A4,Student A,FALSE,LB,Group 1
A5,Student A,FALSE,LB,Group 1
A7,Student B,TRUE,MM,Group 1
A8,Student B,TRUE,MM,Group 1
A9,Student B,FALSE,MM,Group 1
A10,Student B,FALSE,MM,Group 1
B2,Student C,TRUE,LB,Group 1
B3,Student C,TRUE,LB,Group 1
B4,Student C,FALSE,LB,Group 1
B5,Student C,FALSE,LB,Group 1
B7,Student D,TRUE,MM,Group 1
B8,Student D,TRUE,MM,Group 1
B9,Student D,FALSE,MM,Group 1
B10,Student D,FALSE,MM,Group 1
C2,Student E,TRUE,LB,Group 1
C3,Student E,TRUE,LB,Group 1
C4,Student E,FALSE,LB,Group 1
C5,Student E,FALSE,LB,Group 1
C7,Student F,TRUE,MM,Group 1
C8,Student F,TRUE,MM,Group 1
C9,Student F,FALSE,MM,Group 1
C10,Student F,FALSE,MM,Group 1
D2,Student G,TRUE,LB,Group 1
D3,Student G,TRUE,LB,Group 1
D4,Student G,FALSE,LB,Group 1
D5,Student G,FALSE,LB,Group 1
D7,Student H,TRUE,MM,Group 1
D8,Student H,TRUE,MM,Group 1
D9,Student H,FALSE,MM,Group 1
D10,Student H,FALSE,MM,Group 1
E2,Student I,TRUE,LB,Group 2
E3,Student I,TRUE,LB,Group 2
E4,Student I,FALSE,LB,Group 2
E5,Student I,FALSE,LB,Group 2
E7,Student J,TRUE,MM,Group 2
E8,Student J,TRUE,MM,Group 2
E9,Student J,FALSE,MM,Group 2
E10,Student J,FALSE,MM,Group 2
F2,Student K,TRUE,LB,Group 2
F3,Student K,TRUE,LB,Group 2
F4,Student K,FALSE,LB,Group 2
F5,Student K,FALSE,LB,Group 2
F7,Student L,TRUE,MM,Group 2
F8,Student L,TRUE,MM,Group 2
F9,Student L,FALSE,MM,Group 2
F10,Student L,FALSE,MM,Group 2
G2,Student M,TRUE,LB,Group 2
G3,Student M,TRUE,LB,Group 2
G4,Student M,FALSE,LB,Group 2
G5,Student M,FALSE,LB,Group 2
G7,Student N,TRUE,MM,Group 2
G8,Student N,TRUE,MM,Group 2
G9,Student N,FALSE,MM,Group 2
G10,Student N,FALSE,MM,Group 2
H2,Student O,TRUE,LB,Group 2
H3,Student O,TRUE,LB,Group 2
H4,Student O,FALSE,LB,Group 2
H5,Student O,FALSE,LB,Group 2
H7,Student P,TRUE,MM,Group 2
H8,Student P,TRUE,MM,Group 2
H9,Student P,FALSE,MM,Group 2
H10,Student P,FALSE,MM,Group 2
